Title,Duration,Upload Date,Views,URL
22 Minute | Simple Everyday Chair Yoga Flow | Great for Sciatica | *No Music*,24:29,2025-07-20,68,https://www.youtube.com/watch?v=cGKZkQ7vS-4
15 Minute Intermediate / Advanced Chair Yoga Flow | NO MUSIC,16:45,2025-07-13,54,https://www.youtube.com/watch?v=wJR5K-D-HoQ
40 Minute | Deep Relaxation Full Body Floww NO MUSIC,42:13,2025-07-06,66,https://www.youtube.com/watch?v=gVipLiUeMwQ
"Flowwmix Vol. 6 | Music for Cleaning, Cooking and or Slow Flow Yoga",1:00:17,2025-06-29,74,https://www.youtube.com/watch?v=aPtv-6_RYMc
30 Minute | Yoga for Shoulder + Hip Relief | Vinyasa Flow International Day of Yoga,29:41,2025-06-22,126,https://www.youtube.com/watch?v=OxuX2a6fIwA
"25 Minute - Calm Your Nervous System Flow Before Bed: For Anxiety, Depression + Overstimulated folks",26:30,2025-06-15,89,https://www.youtube.com/watch?v=spAPxc5fa0k
"Yoga Talks | The Tea with Non Compete, Filming and Training Creation Yoga Contracts",21:50,2025-06-08,53,https://www.youtube.com/watch?v=88zwwGAn9s0
30 Minute - Deep Hips Flow | Slow Flow Yoga Class | All Levels,33:37,2025-06-01,225,https://www.youtube.com/watch?v=kDUdM0MyA94
"10 Minutes - Barre / Pilates Lower Body Burn Class | Thighs, Butt, Calves",12:13,2025-05-25,113,https://www.youtube.com/watch?v=qTa1OXEv1mU
25 Minute - Full Body Nighttime Yoga | Everyday and All Levels,26:14,2025-05-18,87,https://www.youtube.com/watch?v=HHwV1_MZ2DA
Chakra Series - 20 Minute Crown Chakra Yoga Class | Connect to Your Higher Self & Inner Peace,22:22,2025-05-11,171,https://www.youtube.com/watch?v=KOAfRi-9vJs
Chakra Series - 35 Minute Third Eye Chakra Yoga Class | Strengthen Your Intuition & Mental Clarity,35:49,2025-05-04,63,https://www.youtube.com/watch?v=Ulo04aOLsTE
Chakra Series - 30 Minute Throat Chakra Yoga Class | Enhance Your Communication & Self-Expression,31:29,2025-04-27,79,https://www.youtube.com/watch?v=NelafDKPyQY
"Chakra Series - 30 Minute Heart Chakra Yoga Class | Open Your Heart, Hips + Cultivate Compassion",31:40,2025-04-21,287,https://www.youtube.com/watch?v=dA4iA5wgwVk
"A week in my life as a Yoga Teacher | Spring Break, Sauna, Thrifting, and Ramen!",23:09,2025-04-16,153,https://www.youtube.com/watch?v=blaSyRnhRW8
Chakra Series - 30 Minutes Solar Plexus Chakra Yoga Class | Boost Your Confidence & Core Strength,32:30,2025-04-13,98,https://www.youtube.com/watch?v=AyB5AEw7sV0
Chakra Series - 25 Minute Sacral Chakra Yoga Class | Ignite Creativity & Flow,25:28,2025-04-06,166,https://www.youtube.com/watch?v=nirAPrruICU
Chakra Series - 25 Minute Root Chakra Yoga Class | Stabilize & Ground Yourself,25:14,2025-03-30,228,https://www.youtube.com/watch?v=MkILY1P3QlU
"VLOG | Days in my life as a Yoga Teacher! Food shopping, yoga event and more!",20:20,2025-03-23,123,https://www.youtube.com/watch?v=IkirkzkGk6g
"22 - Minute Yoga For Back Pain Relief| Strengthen, Stretch & Soothe Your Spine | Music",22:15,2025-03-16,186,https://www.youtube.com/watch?v=UOI4oIxSogU
VLOG | Spend my 35th Birthday with me! Shot on my Osmo Pocket 3!,19:34,2025-03-09,103,https://www.youtube.com/watch?v=ezZ9nf3zMGQ
20 - Minute Intermediate Vinyasa Class | Energizing Fun w/ Twists NO MUSIC,21:34,2025-03-02,180,https://www.youtube.com/watch?v=rCoTaj1IEMo
3 Things I Wish I Knew Before Becoming a Yoga Teacher: Tips for Yoga Instructors (Pt.4),12:39,2025-02-23,157,https://www.youtube.com/watch?v=aemvcjzyHnc
15 - Minute Morning Movement | Quick Glutes Class for a Toned Butt NO MUSIC,17:59,2025-02-16,213,https://www.youtube.com/watch?v=uV4ZfFw7Mw4
"Floww Mix Vol. 5 | Music to Relax, Fall Asleep + Meditate",15:07,2025-02-09,125,https://www.youtube.com/watch?v=4vJhG_k66Ao
20 - Minute Yoga for PMS | Slow + Supported with Blocks + Bolster | Gentle Stretches,21:16,2025-02-02,94,https://www.youtube.com/watch?v=nZ_90BEVwzY
15 - Minute Yoga for a Strong Core | Intermediate Vinyasa Flow,17:50,2025-01-26,250,https://www.youtube.com/watch?v=JWK3iOQONAI
30 - Minute Intermediate Vinyasa Yoga Class to Lift Your Spirit after the Inauguration | No Music,32:41,2025-01-21,194,https://www.youtube.com/watch?v=fspKIn8a8oA
30 - Minute Flow +Burn Vinyasa Yoga + Barre Class | Full Body | NO MUSIC,31:34,2025-01-19,161,https://www.youtube.com/watch?v=rQrOBs7Qw-s
30 - Minute Flow + Burn Vinyasa + Barre Class |  Body Focus: Arms +arm Thighs | No Music,32:17,2025-01-12,189,https://www.youtube.com/watch?v=TSjxjcAsGrE
20 - Minute Slow + Supported Yoga for Slow Days | Happy New Year,22:14,2025-01-06,300,https://www.youtube.com/watch?v=uE6cAnmCfQ0
3 Things I Wish I Knew Before Becoming a Yoga Teacher: Tips for Yoga Instructors (PT. 3),10:56,2024-12-29,305,https://www.youtube.com/watch?v=boDl6HtJJZs
30 - Minute Intermediate Grounding Winter Arc Vinyasa Flow,31:54,2024-12-22,391,https://www.youtube.com/watch?v=BSD8QtfOz6U
20 - Minute Morning Movement | Affirming Winter Arc Vinyasa Yoga Flow,19:47,2024-12-15,336,https://www.youtube.com/watch?v=uYWc0HtHP6o
20 - Minute Morning Movement | Healthy Hips Vinyasa Yoga Flow,20:31,2024-12-01,434,https://www.youtube.com/watch?v=ovW_qCbNu0s
20 - Minute Intermediate Cozy Winter Arc Vinyasa Class,22:01,2024-11-24,402,https://www.youtube.com/watch?v=XLvdLI5_DCc
"30 -Minute Intermediate / Advanced Vinyasa Yoga Class for exploring new postures, play + possibility",31:46,2024-11-17,447,https://www.youtube.com/watch?v=QZhEYqVDIn8
30 - Minute Intermediate / Advanced Vinyasa Yoga Class | Full Body (Core),31:46,2024-11-11,993,https://www.youtube.com/watch?v=uV3ClNBUyeY
