id,doc_type,title,content,created_by,created_at,updated_at
42574d1a-ad35-41da-9edc-106d76d33906,asana,Arm Pressure Pose,"## Sanskrit Name
Bhujapidasana

## Category
Arm Balance

## Benefits
- Strengthens the arms and wrists
- Tones the belly
- Improves balance

## Contraindications
- Shoulder injury
- Elbow injury
- Wrist injury
- Low back injury

## Modifications
- Keep feet on floor

## Preparatory Poses

- [Eagle Pose](/library/be26591c-a464-46c1-95cd-0d92340b9f41)

- [Garland Pose](/library/379246d5-f550-45a4-8515-9035a6349b93)

- [Crow (Crane) Pose](/library/ff07b5bf-3f00-4076-8a83-02988232f467)

- [Bound Angle Pose](/library/9d2df40a-159b-4e35-889b-8e1225a0a178)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.222911+00,2025-05-15 14:41:02.222911+00
fef6fa0f-535c-479c-925b-e89714808901,asana,Four-Limbed Staff Pose,"## Sanskrit Name
Chaturanga Dandasana

## Category
Arm Balance

## Benefits
- Strengthens the arms and wrists
- Tones the abdomen

## Contraindications
- Carpal tunnel syndrome
- Pregnancy
- Wrist or shoulder injuries

## Modifications
- Drop knees to the ground

## Preparatory Poses

- [Plank Pose](/library/9fad00e8-7acf-40a1-8a24-34d29bbcc429)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.315415+00,2025-05-15 14:41:02.315415+00
9fad00e8-7acf-40a1-8a24-34d29bbcc429,asana,Plank Pose,"## Sanskrit Name
Phalakasana

## Category
Arm Balance

## Benefits
- Strengthens the arms, wrists, and spine
- Tones the abdomen

## Contraindications
- Carpal tunnel syndrome
- Wrist or shoulder injuries

## Modifications
- Drop knees to the ground

## Preparatory Poses

- [Downward Facing Dog Pose](/library/3cad1dab-c498-4539-922e-ab891d3dd287)

- [Four-Limbed Staff Pose](/library/fef6fa0f-535c-479c-925b-e89714808901)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.384336+00,2025-05-15 14:41:02.384336+00
ff07b5bf-3f00-4076-8a83-02988232f467,asana,Crow (Crane) Pose,"## Sanskrit Name
Bakasana

## Category
Arm Balance

## Benefits
- Strengthens arms and wrists
- Stretches the upper back
- Strengthens the abdominal muscles
- Opens the groins
- Tones the abdominal organs

## Contraindications
- Carpal Tunnel Syndrome
- Pregnancy

## Modifications
- Block under feet

## Preparatory Poses

- [Downward Facing Dog Pose](/library/3cad1dab-c498-4539-922e-ab891d3dd287)

- [Bound Angle Pose](/library/9d2df40a-159b-4e35-889b-8e1225a0a178)

- [Child's Pose](/library/3c43cae2-b13c-429f-90f4-61460cd74d24)

- [Plank Pose](/library/9fad00e8-7acf-40a1-8a24-34d29bbcc429)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.453377+00,2025-05-15 14:41:02.453377+00
7800ca71-0de4-4e0e-b1de-533de2f864b9,asana,Side Crow,"## Sanskrit Name
Parsva Bakasana

## Category
Arm Balance

## Benefits
- Strengthens the arms and wrists
- Tones the belly and spine
- Improves sense of balance

## Contraindications
- Wrist injury
- Low back injury

## Modifications
- Feet on a block
- Parivrtta Utkatasana

## Preparatory Poses

- [Chair Pose](/library/96d01cb8-8d19-4d8f-af0e-a284c87b52b3)

- [Revolved Chair Pose](/library/b9581295-7c69-4ac3-a020-71c8d42e8ea6)

- [Crow (Crane) Pose](/library/ff07b5bf-3f00-4076-8a83-02988232f467)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.516857+00,2025-05-15 14:41:02.516857+00
9e0ceeea-c5ea-43f6-bf54-29f7da2ee2d0,asana,Pose Dedicated to the Sage Koundinya I,"## Sanskrit Name
Eka Pada Koundinyasana I

## Category
Arm Balance

## Benefits
- Strengthens the arms and wrists
- Tones the belly and spine

## Contraindications
- Wrist injury
- Back injury

## Modifications
- Parsva Bakasana
- Block under the ankle

## Preparatory Poses

- [Pose dedicated to the sage Marichi A](/library/1053514d-96d8-49c4-81dc-3eb1a042ac12)

- [Side Crow](/library/7800ca71-0de4-4e0e-b1de-533de2f864b9)

- [Hand-to-Big Toe Pose](/library/923dacb5-cd0b-4afa-9e4d-915a782e36d0)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.587189+00,2025-05-15 14:41:02.587189+00
c354706e-9359-437e-9e71-16d9535f6cbc,asana,Pose Dedicated to the Sage Koundinya II,"## Sanskrit Name
Eka Pada Koundinyasana II

## Category
Arm Balance

## Benefits
- Strengthens the arms and wrists
- Tones the belly and spine

## Contraindications
- Wrist injury
- Back injury

## Modifications
- Block under the ankle

## Preparatory Poses

- [Hand-to-Big Toe Pose](/library/923dacb5-cd0b-4afa-9e4d-915a782e36d0)

- [Four-Limbed Staff Pose](/library/fef6fa0f-535c-479c-925b-e89714808901)

- [Wide-Angle Seated Forward Fold](/library/34ba6f9d-9884-4077-9334-f40a653cf8e6)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.652433+00,2025-05-15 14:41:02.652433+00
fbc1a9cd-88b9-4f2f-bc9f-837c3c5a3bdc,asana,Eight-Angle Pose,"## Sanskrit Name
Astavakrasana

## Category
Arm Balance

## Benefits
- Strengthens the wrists and arms
- Tones the abdominal muscles

## Contraindications
- Wrist injury
- Elbow injury
- Shoulder injury

## Modifications
- Work on the leg position without lifting up

## Preparatory Poses

- [Standing Forward Fold](/library/8675b2a8-57b3-448c-b24e-ee217e76f0c0)

- [Four-Limbed Staff Pose](/library/fef6fa0f-535c-479c-925b-e89714808901)

- [Bound Angle Pose](/library/9d2df40a-159b-4e35-889b-8e1225a0a178)

- [Extended Side Angle](/library/01dc3f1e-585b-4b0c-ba14-6ca6d66e08e1)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.718638+00,2025-05-15 14:41:02.718638+00
a9f5c894-33f2-4417-909a-6073c930a226,asana,Side Plank Pose,"## Sanskrit Name
Vasisthasana

## Category
Arm Balance

## Benefits
- Strengthens the arms, belly, and legs
- Stretches and strengthens the wrists
- Improves sense of balance

## Contraindications
- Wrist injury
- Elbow injury
- Shoulder injury

## Modifications
- Drop your bottom knee
- Lower to the forearm

## Preparatory Poses

- [Downward Facing Dog Pose](/library/3cad1dab-c498-4539-922e-ab891d3dd287)

- [Half Moon](/library/502c5ac6-6c9f-4c36-9acf-ac030fcb9155)

- [Plank Pose](/library/9fad00e8-7acf-40a1-8a24-34d29bbcc429)

- [Wide-leg Forward Fold](/library/f26ce72d-8e97-4e97-970c-9a46c02936c1)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.766555+00,2025-05-15 14:41:02.766555+00
f31397c7-43f9-4bbf-a6a0-63ddb219a093,asana,Bridge Pose,"## Sanskrit Name
Setu Bandha Sarvangasana

## Category
Backbend

## Benefits
- Stretches the chest, neck, and spine
- Calms the brain and helps alleviate stress and mild depression
- Stimulates abdominal organs, lungs, and thyroid
- Rejuvenates tired legs
- Improves digestion
- Helps relieve menopause symptoms
- Relieves menstrual discomfort when done supported
- Reduces anxiety, fatigue, backache, headache, and insomnia

## Contraindications
- Neck Injury

## Modifications
- Block or blanket under the hips

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.820678+00,2025-05-15 14:41:02.820678+00
c542461f-d19c-440e-bcc6-b8c2d974869d,asana,Upward Facing Dog Pose,"## Sanskrit Name
Urdhva Mukha Svanasana

## Category
Backbend

## Benefits
- Improves posture
- Strengthens the spine, arms, wrists
- Stretches chest and lungs, shoulders, and abdomen
- Firms the buttocks
- Stimulates abdominal organs
- Helps relieve mild depression, fatigue, and sciatica
- Therapeutic for asthma

## Contraindications
- Back injury
- Carpal tunnel syndrome
- Headache
- Pregnancy

## Modifications
- Bolster under abdomen

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.870957+00,2025-05-15 14:41:02.870957+00
73df70c0-931c-4c9c-9f24-29c04060141a,asana,Upward Bow Pose,"## Sanskrit Name
Urdhva Dhanurasana

## Category
Backbend

## Benefits
- Stretches the chest and lungs
- Strengthens the arms and wrists, legs, buttocks, abdomen, and spine
- Stimulates the thyroid and pituitary
- Increases energy and counteracts depression

## Contraindications
- Back injury
- Carpal tunnel syndrome
- Headache
- Heart problems
- High or low blood pressure

## Modifications
- Hands on blocks at wall

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:02.938556+00,2025-05-15 14:41:02.938556+00
409184b9-9350-4ef9-81eb-8c47530b790c,asana,Camel Pose,"## Sanskrit Name
Ustrasana

## Category
Backbend

## Benefits
- Stretches the entire front of the body, ankles, thighs and groins
- Stretches abdomen and chest, and throat
- Stretches the deep hip flexors (psoas)
- Strengthens back muscles
- Improves posture
- Stimulates the organs of the abdomen and neck

## Contraindications
- High or low blood pressure
- Migraine
- Insomnia
- Serious low back or neck injury

## Modifications
- Keep your hands on the back of your pelvis

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Bow Pose](/library/bd31cf6f-9b3d-46bb-9f3f-5cb5bdd9bb77)

- [Locust Pose](/library/dcd65501-b4bc-4e88-9eda-717be9a8e66f)

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)

- [Reclining Hero Pose](/library/eaed363b-88c3-4a81-87b6-391a4e23056d)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:03.004141+00,2025-05-15 14:41:03.004141+00
c308645a-2a3d-45f6-9416-384c394cecd0,asana,Cobra Pose,"## Sanskrit Name
Bhujangasana

## Category
Backbend

## Benefits
- Strengthens the spine
- Stretches chest and lungs, shoulders, and abdomen
- Firms the buttocks
- Stimulates abdominal organs
- Helps relieve stress and fatigue
- Opens the heart and lungs
- Soothes sciatica

## Contraindications
- Back injury
- Carpal tunnel syndrome
- Headache
- Pregnancy

## Modifications
- Little to no weight in the hands
- Cow Pose

## Preparatory Poses

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:03.05005+00,2025-05-15 14:41:03.05005+00
bd31cf6f-9b3d-46bb-9f3f-5cb5bdd9bb77,asana,Bow Pose,"## Sanskrit Name
Dhanurasana

## Category
Backbend

## Benefits
- Stretches the entire front of the body, ankles, thighs and groins, abdomen and chest, and throat
- Stretches the deep hip flexors (psoas)
- Strengthens the back muscles
- Improves posture
- Stimulates the organs of the abdomen and neck

## Contraindications
- High or low blood pressure
- Migraine
- Insomnia
- Serious lower-back or neck injury

## Modifications
- Salabhasana
- Bhujangasana

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Locust Pose](/library/dcd65501-b4bc-4e88-9eda-717be9a8e66f)

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)

- [Reclining Hero Pose](/library/eaed363b-88c3-4a81-87b6-391a4e23056d)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:03.115759+00,2025-05-15 14:41:03.115759+00
dcd65501-b4bc-4e88-9eda-717be9a8e66f,asana,Locust Pose,"## Sanskrit Name
Salabhasana

## Category
Backbend

## Benefits
- Strengthens the muscles of the spine, buttocks, and backs of the arms and legs
- Stretches the shoulders, chest, belly, and thighs
- Improves posture
- Stimulates abdominal organs
- Helps relieve stress

## Contraindications
- Headache
- Serious back injury
- Neck injury

## Modifications
- Bhujangasana

## Preparatory Poses

- [Cobra Pose](/library/c308645a-2a3d-45f6-9416-384c394cecd0)

- [Cow Face Pose](/library/ab04dad7-4c88-454b-9b32-c33663ce3afa)

- [Bridge Pose](/library/f31397c7-43f9-4bbf-a6a0-63ddb219a093)

- [Reclining Hero Pose](/library/eaed363b-88c3-4a81-87b6-391a4e23056d)

- [Upward Facing Dog Pose](/library/c542461f-d19c-440e-bcc6-b8c2d974869d)

- [Warrior I](/library/ae72c8be-0a05-4dde-aaf5-1fb471bc43f3)

- [Hero's Pose](/library/066ba829-a02c-487d-a88e-6647f167e0c3)",cdbdccbc-9125-4d58-bf12-58fbb889c8c6,2025-05-15 14:41:03.190505+00,2025-05-15 14:41:03.190505+00
